Time Minutes;TC01.SP C;FC03.SP kg/hr;STREAMS("GLPHD-PR").Zn("ETHANE") kmol/kmol;STREAMS("GLPHD-PR").Zn("PENTANE") kmol/kmol
204;171;10648;0.0137966;0.0211758
205;171;10648;0.0137967;0.0211834
206;171;10648;0.0137967;0.0211909
207;171;10648;0.0137967;0.0211983
208;171;10648;0.0137967;0.0212058
209;171;10648;0.0137967;0.0212132
210;171;10648;0.0137968;0.0212205
211;171;10648;0.0137968;0.0212279
212;171;10648;0.0137968;0.0212352
213;171;10648;0.0137968;0.0212424
214;171;10648;0.0137968;0.0212496
215;171;10648;0.0137969;0.0212568
216;171;10648;0.0137969;0.0212639
217;171;10648;0.0137969;0.021271
218;171;10648;0.0137969;0.0212781
219;171;10648;0.0137969;0.0212851
220;171;10648;0.013797;0.0212921
221;171;10648;0.013797;0.0212991
222;171;10648;0.013797;0.021306
223;171;10648;0.013797;0.0213128
224;171;10648;0.0137971;0.0213197
225;171;10648;0.0137971;0.0213266
226;171;10648;0.0137971;0.0213333
227;171;10648;0.0137971;0.02134
228;171;10648;0.0137971;0.0213468
229;171;10648;0.0137972;0.0213535
230;171;10648;0.0137972;0.0213601
231;171;10648;0.0137972;0.0213667
232;171;10648;0.0137972;0.0213733
233;171;10648;0.0137972;0.0213798
234;171;10648;0.0137973;0.0213863
235;171;10648;0.0137973;0.0213928
236;171;10648;0.0137973;0.0213992
237;171;10648;0.0137973;0.0214057
238;171;10648;0.0137973;0.021412
239;171;10648;0.0137974;0.0214183
240;171;10648;0.0137974;0.0214246
241;171;10648;0.0137974;0.0214309
242;171;10648;0.0137974;0.0214371
243;171;10648;0.0137975;0.0214433
244;171;10648;0.0137975;0.0214495
245;171;10648;0.0137975;0.0214557
246;171;10648;0.0137975;0.0214617
247;171;10648;0.0137975;0.0214678
248;171;10648;0.0137975;0.0214739
249;171;10648;0.0137976;0.0214799
250;171;10648;0.0137976;0.0214858
251;171;10648;0.0137976;0.0214918
252;171;10648;0.0137976;0.0214977
253;171;10648;0.0137976;0.0215036
254;171;10648;0.0137976;0.0215094
255;171;10648;0.0137976;0.0215153
256;171;10648;0.0137976;0.0215211
257;171;10648;0.0137977;0.0215269
258;171;10648;0.0137977;0.0215325
259;171;10648;0.0137977;0.0215382
260;171;10648;0.0137977;0.0215439
261;171;10648;0.0137977;0.0215496
262;171;10648;0.0137977;0.0215552
263;171;10648;0.0137977;0.0215607
264;171;10648;0.0137978;0.0215663
265;171;10648;0.0137978;0.0215718
266;171;10648;0.0137978;0.0215773
267;171;10648;0.0137978;0.0215827
268;171;10648;0.0137978;0.0215882
269;171;10648;0.0137978;0.0215936
270;171;10648;0.0137978;0.0215989
271;171;10648;0.0137978;0.0216043
272;171;10648;0.0137979;0.0216096
273;171;10648;0.0137979;0.0216149
274;171;10648;0.0137979;0.0216201
275;171;10648;0.0137979;0.0216253
276;171;10648;0.0137979;0.0216305
277;171;10648;0.0137979;0.0216358
278;171;10648;0.0137979;0.0216409
279;171;10648;0.013798;0.021646
280;171;10648;0.013798;0.0216511
281;171;10648;0.013798;0.0216561
282;171;10648;0.013798;0.0216611
283;171;10648;0.013798;0.0216661
284;171;10648;0.013798;0.0216711
285;171;10648;0.013798;0.0216761
286;171;10648;0.013798;0.021681
287;171;10648;0.0137981;0.0216859
288;171;10648;0.0137981;0.0216907
289;171;10648;0.0137981;0.0216956
290;171;10648;0.0137981;0.0217004
291;171;10648;0.0137981;0.0217052
292;171;10648;0.0137981;0.0217099
293;171;10648;0.0137981;0.0217147
294;171;10648;0.0137982;0.0217194
295;171;10648;0.0137982;0.021724
296;171;10648;0.0137982;0.0217287
297;171;10648;0.0137982;0.0217334
298;171;10648;0.0137982;0.0217379
299;171;10648;0.0137982;0.0217425
300;171;10648;0.0137982;0.0217471
301;171;10648;0.0137982;0.0217516
302;171;10648;0.0137982;0.0217561
303;171;10648;0.0137982;0.0217606
304;171;10648;0.0137983;0.021765
305;171;10648;0.0137983;0.0217695
306;171;10648;0.0137983;0.0217739
307;171;10648;0.0137983;0.0217782
308;171;10648;0.0137983;0.0217826
309;171;10648;0.0137983;0.021787
310;171;10648;0.0137983;0.0217912
311;171;10648;0.0137983;0.0217955
312;171;10648;0.0137983;0.0217998
313;171;10648;0.0137983;0.021804
314;171;10648;0.0137983;0.0218082
315;171;10648;0.0137984;0.0218124
316;171;10648;0.0137984;0.0218165
317;171;10648;0.0137984;0.0218207
318;171;10648;0.0137984;0.0218248
319;171;10648;0.0137984;0.0218289
320;171;10648;0.0137984;0.021833
321;171;10648;0.0137984;0.021837
322;171;10648;0.0137984;0.021841
323;171;10648;0.0137984;0.021845
324;171;10648;0.0137984;0.021849
325;171;10648;0.0137984;0.021853
